PARK ID,PARK NAME,FULL ADDRESS,CITY,STATE,ZIP CODE,CLASSIFICATION,WEBSITE,ACREAGE,AIRGUN RANGE,AIRNASIUM,ARCHERY  RANGE,BASKETBALL INDOOR,BASKETBALL OUTDOOR,BIKE REPAIR STATION,BIRD WATCHING WILDLIFE VIEWING,BLUEWAY TRAILHEAD,BMX TRACK,CANOE KAYAK LAUNCH,CRICKET PITCH,CROQUET COURT,DISC GOLF,DOG PARK,EQUESTRIAN,FISHING ACCESS,FITNESS CENTER,FITNESS STATION OUTDOOR,GARDEN ABORETUM,GOLF COURSE 9 HOLE,GOLF COURSE 18 HOLE,GREENWAY TRAILHEAD,MOUNTAIN BIKE TRAIL,MULTI-PURPOSE BALL FIELD,NATURE TRAIL,PAVILION,PLAYGOUND,PRIMITIVE TRAIL,RECREATION CENTER,RUGBY FIELD,RV PARK,SAND VOLLEYBALL,SHUFFLEBOARD,SKATE PARK,SOCCER FIELD,SPLASH PAD,STADIUM,SWIMMING POOL,TENNIS CENTER,TENNIS COURT,VELODROME,WALKING LOOP OUTDOOR,WALKING TRACK INDOOR,GEOLOCATION
PWNEE,PAWNEE STREET PARK,2100 SCENIC HWY,BATON ROUGE,LOUISIANA,70802,Neighborhood,http://www.brec.org/index.cfm/park/PawneeStreet,0.77,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,POINT (-91.167969 30.46656)
PLMNO,PALOMINO DRIVE PARK,14100 PALOMINO DR,GREENWELL SPRINGS,LOUISIANA,70739,Neighborhood,http://www.brec.org/index.cfm/park/PalominoDrive,149.89,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,POINT (-91.011598 30.574595)
CDLST,CADILLAC STREET PARK,6117 CADILLAC ST,BATON ROUGE,LOUISIANA,70811,Neighborhood,http://www.brec.org/index.cfm/park/CadillacStreet,5.53,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,POINT (-91.129186 30.518068)
PLANK,PLANK ROAD PARK,19550 PLANK RD,ZACHARY,LOUISIANA,70791,Neighborhood,http://www.brec.org/index.cfm/park/PlankRoad,82.10,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,POINT (-91.107858 30.640614)
SAIAP,TICKIE SAIA MEMORIAL PARK,855 N DONMOOR AVE,BATON ROUGE,LOUISIANA,70806,Neighborhood,http://www.brec.org/index.cfm/park/Saia,3.74,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,POINT (-91.118605 30.457925)
BBSWP,BLUEBONNET SWAMP CONSERVATION AREA,10503 N OAK HILLS PKWY,BATON ROUGE,LOUISIANA,70810,Conservation,http://www.brec.org/index.cfm/park/BluebonnetSwamp,102.75,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,POINT (-91.104375 30.370023)
MDISN,MADISON AVENUE PARK,1820 MADISON AVE,BATON ROUGE,LOUISIANA,70802,Neighborhood,http://www.brec.org/index.cfm/park/MadisonAvenue,0.97,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,POINT (-91.170475 30.467378)
PRKLN,PARKLAWN PARK,12228 PARKLAWN AVE,BATON ROUGE,LOUISIANA,70816,Neighborhood,http://www.brec.org/index.cfm/park/Parklawn,5.53,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,POINT (-91.045195 30.404201)
CHMBR,CHAMBERLAIN STREET PARK,16900 CHAMBERLAIN AVE,BAKER,LOUISIANA,70714,Neighborhood,http://www.brec.org/index.cfm/park/ChamberlainStreet,4.71,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,POINT (-91.182748 30.60553)
FLNCR,FLANACHER ROAD PARK,801 S FLANNERY RD,BATON ROUGE,LOUISIANA,70815,Neighborhood,http://www.brec.org/index.cfm/park/Flanacher,175.00,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,POINT (-91.034639 30.450558)
NAIRN,NAIRN DRIVE PARK,2800 NAIRN DR,BATON ROUGE,LOUISIANA,70808,Neighborhood,http://www.brec.org/index.cfm/park/NairnDrive,7.43,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,POINT (-91.146268 30.422995)
SHRLF,SOUTH HARRELL'S FERRY NATURE RESERVE,15750 S HARRELL'S FERRY RD,BATON ROUGE,LOUISIANA,70816,Conservation,http://www.brec.org/index.cfm/park/SouthHarrellsFerry,29.29,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,POINT (-91.014543 30.426892)
JFRST,JEFFERSON STREET PARK,3503 JEFFERSON ST,BAKER,LOUISIANA,70714,Neighborhood,http://www.brec.org/index.cfm/park/JeffersonStreet,10.00,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,POINT (-91.161549 30.5906)
SGRLD,SUGARLAND PARK,4700 SUGAR LAND DR,BATON ROUGE,LOUISIANA,70814,Neighborhood,https://www.brec.org/index.cfm/park/Sugarland,4.75,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,POINT (-91.040305 30.492404)
BAYWD,BAYWOOD PARK,20001 PRIDE-BAYWOOD RD,GREENWELL SPRINGS,LOUISIANA,70739,Neighborhood,http://www.brec.org/index.cfm/park/Baywood,30.87,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,POINT (-90.914756 30.711177)
MLSAV,MILLS AVENUE PARK,401 MILLS AVE,BATON ROUGE,LOUISIANA,70807,Neighborhood,http://www.brec.org/index.cfm/park/MillsAvenue,5.49,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,POINT (-91.194955 30.53271)
QRTHS,QUARTERHORSE NATURE RESERVE,23400-23500 QUARTER HORSE DR,ZACHARY,LOUISIANA,70791,Conservation,http://www.brec.org/index.cfm/park/QuarterhorseDrive,21.93,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,POINT (-91.172549 30.694819)
CLGTN,COLLEGE TOWN PARK,251 AMHERST AVE,BATON ROUGE,LOUISIANA,70808,Neighborhood,http://www.brec.org/index.cfm/park/CollegeTown,1.20,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,POINT (-91.171364 30.404782)
ANATJ,ANNA T. JORDAN COMMUNITY PARK,1750 STILT ST,BATON ROUGE,LOUISIANA,70807,Community,http://www.brec.org/index.cfm/park/AnnaTJordanCommunityPark,39.62,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,POINT (-91.175259 30.527419)
,,3069 PLANK RD,BATON ROUGE,LOUISIANA,70805,Neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-91.161416981 30.476208969)
